IBOV,USD,PETR4,ABEV3,CMIG4,GGBR4,ITUB4,BBDC4,BBAS3,VALE3
97030.32,3.8719,25.55,17.55,14.76,13.87,35.01449,37,51.85,49
97020.48,3.9053,25.99,17.42,14.7,13.94,35.09452,36.88,52.09,48.83
97380.28,3.9382,26.2,17.35,14.9,13.86,35.0345,37.05,52.94,49.11
95998.75,3.9282,25.86,17.41,14.75,13.71,34.35422,36.48,51.48,48.39
97204.85,3.936,26.28,17.64,15.25,13.65,34.71437,37.28,52.79,48.8
97821.26,3.936,26.76,17.61,15.15,13.9,35.08452,37.29,52.36,48.66
97466.69,3.936,26.65,17.65,14.7,14.15,34.64434,36.85,51.87,48.34
98960,3.9356,27.16,17.72,15,14.57,34.81441,37.02,52.9,51.43
98320.88,3.9198,26.85,17.68,14.61,14.46,34.61433,36.59,52.26,51.49
98773.7,3.9911,27.18,17.85,14.78,14.65,33.99407,36.19,51.43,51.85
98040.06,3.9542,27.06,17.64,14.53,14.35,34.00407,36.13,50.52,51.4
97623.25,3.9299,27.11,17.8,14.71,14.21,33.96406,36.04,50.47,50.2
99404.39,3.925,27.45,18.05,14.59,14.74,34.84442,36.35,51.65,52
100303.41,3.9307,27.52,18.2,14.6,14.96,35.39465,36.8,52.5,52.3
102012.64,3.9458,28.28,18.45,14.74,15.22,36.19498,37.63,52.91,52.44
102062.33,3.9184,28.25,18.3,14.77,15.13,36.11495,37.93,53.04,52.4
100092.95,3.9208,27.51,18.17,14.39,14.75,35.66476,37.61,52.55,51.38
100688.63,3.9677,27.67,18.1,14.33,15.09,36.51511,38.08,53.69,51.58
100723.97,3.9396,27.23,18.05,14.66,14.99,36.26501,37.9,53.8,51.7
100967.2,3.939,27.41,17.89,14.85,15.2,36.27501,37.74,53.94,51.82
101339.68,3.9381,27.26,17.81,14.96,15.03,36.09494,37.63,53.88,53.65
100605.17,3.9697,26.82,18.13,14.7,14.64,35.96488,37.73,53.19,51.39
102043.11,3.9702,27.13,18.87,14.84,14.88,36.58514,38.24,54.3,51.29
103636.17,3.9278,27.39,19,14.99,15.3,37.00532,39.07,55.18,51.67
104089.47,3.9469,27.4,19,15.04,15.37,37.41549,39.41,55,50.36
104530.22,3.9572,27.65,18.94,15.11,15.35,37.31544,39.23,54.95,50.95
105817.06,3.9572,28.07,19.02,15.4,15.31,37.2154,39.05,54.26,52.13
105146.44,3.9612,28.4,18.69,15.29,14.94,37.16538,38.72,53.2,52.05
103905.99,3.99405,28.53,18.2,15.12,14.72,36.4751,38,52,51.81
103802.69,3.9766,28.18,18.25,14.87,14.93,36.37505,37.84,51.69,52.69
103775.41,4.0014,27.83,18.1,14.9,14.79,36.51511,37.85,51.77,53.05
103855.53,4.0477,27.68,17.99,14.99,14.61,36.41507,37.65,51.78,52.69
104716.59,4.0992,27.51,18.25,14.86,14.49,37.38547,38.47,52.66,52.59
103451.93,4.0992,27.44,18.09,14.5,14.34,36.41507,37.6,52,52.72
103949.46,4.0989,27.49,17.99,14.43,14.01,37.03533,38.12,52.01,52.45
103704.28,4.0964,27.52,18.03,14.45,14.06,37.39548,38.25,51.4,51.76
104119.54,4.0395,27.35,17.96,14.23,13.85,37.36546,38.97,52.33,50.65
102654.58,4.0404,26.89,19.49,14.07,13.72,36.21499,36.7,50.12,50.49
102818.93,4.0423,26.14,19.8,14.11,13.76,36.86526,36.23,50,50.23
103482.63,4.0225,26.38,20.5,14.05,13.9,37.01532,36.15,50.45,50.26
102932.76,4.0223,26.24,20.34,14.18,14.09,35.78481,35.4,49.94,50.01
101812.13,4.0227,26.08,20.13,14.14,13.75,34.83442,34.5,49.22,49.81
102125.94,4.0436,26.25,20.42,14.37,13.5,34.89444,34.2,48.75,48.4
102673.68,4.0249,26.52,20.49,14.36,13.57,34.94446,34.28,48.76,47.84
100097.75,3.9749,25.55,20.16,14.06,13.1,34.46426,33.66,47.85,46
102163.69,3.9815,25.88,20.48,14.5,13.09,35.50469,34.17,48.5,46.62
102782.37,3.925,25.6,20.63,14,12.97,36.81524,34.89,48.45,46.48
104115.23,3.925,26.35,20.17,14.5,13.39,37.01532,35.06,48.8,47.18
103996.16,3.9257,26.28,20.07,14.6,13.29,36.7352,34.48,48.65,45.49
101915.22,3.8856,25.65,19.48,14.53,12.93,35.21457,33.76,47,45.16
103299.47,3.8551,25.79,19.38,14.84,13.27,35.90486,34.1,47.55,46.5
100258.01,3.8809,24.92,19.01,14.5,12.71,35.11453,33.43,45.89,44.88
99056.91,3.8799,24.23,18.78,14.11,12.28,35.01449,33.2,45.85,43.89
99805.78,3.8775,23.91,18.9,14.54,12.68,34.36422,33.27,45.73,43.69
99468.67,3.8775,24.03,19.11,14.75,12.26,34.21416,32.79,44.83,43.65
99222.25,3.878,24.02,18.94,14.76,12.31,33.834,32.47,44.79,43.84
101201.9,3.886,25.45,18.8,15.38,12.55,34.09411,33.11,47.35,44.15
100011.28,3.8566,25.22,18.47,15.03,12.61,33.55389,32.68,46.65,43.89
97667.49,3.8674,24.28,18.33,14.57,12.29,33.16372,31.97,44.95,43.28
96429.6,3.8497,23.96,18.09,14.37,12.01,33.15372,31.64,44.74,42.8
97276.19,3.8965,24.34,18.17,14.46,11.77,33.54388,32.04,44.38,43.32
98193.53,3.8877,24.59,18.15,14.02,11.91,33.92404,31.85,44.01,43.48
100524.43,3.896,25.5,18.55,14.46,12.53,34.10411,32.45,45.08,45.1
101134.61,3.8885,25.5,18.72,14.76,12.87,33.95405,32.95,46.24,45.57
100625.74,3.861,25.3,18.38,14.9,12.66,33.51387,32.61,45.65,46.01
99680.83,3.83895,25.6,18.52,14.61,12.58,32.8736,32.06,44.8,45.52
101200.89,3.8393,26.26,18.8,14.69,12.58,33.1037,32.46,45.86,46.52
102243,3.8222,26.39,18.69,14.82,12.67,34.04409,33.21,47.46,46.52
102935.43,3.822,26.52,18.72,14.71,12.43,35.18456,34.6,49.39,46.45
103180.59,3.822,26.93,18.87,14.47,13.11,36.04492,35.04,50,47.89
103031.5,3.8271,27.1,18.82,14.4,13.52,35.34463,34.42,49.16,48.24
103445.6,3.847,26.87,18.91,14.73,13.23,35.18456,34.27,47.99,47.95
104370.91,3.8444,27.06,19.37,14.75,13.61,35.40465,33.9,48,49.69
103501.18,3.8195,26.88,19.1,14.43,13.56,35.88485,33.46,47.14,49.79
103680.41,3.8498,28.06,19.15,14.11,13.5,35.24459,33.02,46.65,48.59
104616.86,3.851,27.69,19.43,14.42,13.58,35.37464,33.9,47.3,48.9
104531.93,3.851,27.22,19.26,14.3,13.43,35.26459,34,48.02,48.4
104339.16,3.8411,27.29,19.35,14.35,13.4,34.67435,33.59,46.77,48.32
104817.4,3.8454,27,19.39,14.29,13.25,34.76439,34.18,47.51,48.42
104637.82,3.8265,27.48,19.41,14.2,13.21,34.65434,34.25,47.28,48.1
103875.66,3.8023,27.27,19.35,14.05,12.95,34.29419,33.81,45.84,46.93
104480.98,3.822,27.34,19.6,13.9,13.11,34.69436,34.03,45.54,47.86
105319.4,3.822,27.7,19.53,14.1,13.13,35.69477,34.52,45.71,47.86
105077.63,3.8193,27.66,19.45,14.1,13.03,35.54471,34.5,45.34,47.66
104745.32,3.8027,27.55,19.25,14.33,13.16,35.0445,33.92,45.49,47.75
104053.4,3.8005,27.51,19.31,14.5,13.09,34.23417,33.46,44.95,47.71
101031.44,3.75385,26.72,18.86,14.09,12.6,33.29378,32.15,43.42,45.1
101516.04,3.7563,26.74,18.58,13.94,12.78,33.30378,32.24,45.29,45.44
102551.32,3.7386,26.51,19.21,13.96,13.03,33.46385,32.57,45.6,46.59
100572.77,3.7384,26.17,18.87,13.78,12.78,32.84359,32.36,43.8,46.04
99981.4,3.7359,26.02,18.6,13.81,12.55,32.70353,32.33,43.01,45.32
101248.78,3.7552,26.52,18.67,13.8,12.52,33.22375,33.25,44.2,45.67
101817.13,3.7687,26.74,18.42,13.67,12.98,33.46385,33.63,44.4,47.24
103831.92,3.7633,27.26,18.58,13.87,13.29,33.89403,34.01,45.23,48.64
104301.58,3.7189,27.31,18.72,13.87,13.25,34.46426,34.49,45,47.99
104489.56,3.7482,27.6,18.89,13.9,13.49,34.38423,34.77,44.38,47.91
105422.8,3.74395,27.93,18.89,13.84,13.35,34.87443,35.6,45,46.8
105015.77,3.7474,27.66,18.77,13.92,13.4,34.66435,35,44.91,46.71
104728.89,3.7413,27.6,18.67,13.65,13.16,34.25418,33.79,46.06,46.03
106022.28,3.7739,27.77,18.99,13.7,13.23,34.81441,34.03,46.4,47.21
107381.11,3.7728,28.57,18.77,13.7,13.28,35.89486,35,47.4,47.3
107543.59,3.7788,28.95,18.68,13.57,13.31,36.40507,35.3,47.6,47.11
106986.15,3.7774,28.32,19.19,13.49,13,36.57514,35.26,47.3,46.75
107363.77,3.7762,29.25,17.6,13.16,13.24,36.81524,35.72,47.73,48.56
108187.06,3.775,29.6,17.54,13.26,13.21,37.31544,37.01,48.79,48.7
107556.26,3.7816,29.82,17.58,13.26,13.11,36.65517,36.5,48.66,48.65
108407.54,3.7908,30.08,17.56,13.55,13.38,36.88527,36.67,49.42,48.59
107219.83,3.8132,30.39,17.38,13.65,13.43,36.245,35.17,48.15,47.2
