DATE,MANMM101BRM657S
2009-12-01,2.41721654720015
2010-01-01,2.08142401369923
2010-02-01,0.896195704039208
2010-03-01,1.64633063728586
2010-04-01,1.52585745973851
2010-05-01,1.06205520248406
2010-06-01,0.932263575346733
2010-07-01,1.17330421973683
2010-08-01,1.93881445173248
2010-09-01,1.47048807907656
2010-10-01,1.01460761755104
2010-11-01,0.856998135570382
2010-12-01,0.339903040083847
2011-01-01,0.33715973372493
2011-02-01,0.473696447667997
2011-03-01,-0.0019352528719211
2011-04-01,-0.335859155732249
2011-05-01,0.025310403774788
2011-06-01,0.541928737065225
2011-07-01,0.80239139192551
2011-08-01,-0.352461727856326
2011-09-01,-0.456884682292317
2011-10-01,0.385897419103468
2011-11-01,0.030228511276276
2011-12-01,-0.201384926047174
2012-01-01,0.188016325158612
